country_code,country_name,source,destination,value
AF,🇦🇫 Afghanistan,Akamai,External,40
AF,🇦🇫 Afghanistan,Akamai,External,40
AF,🇦🇫 Afghanistan,Akamai,External,40
AF,🇦🇫 Afghanistan,Akamai,External,40
AF,🇦🇫 Afghanistan,Alibaba,External,4
AF,🇦🇫 Afghanistan,Alibaba,External,4
AF,🇦🇫 Afghanistan,Alibaba,External,4
AF,🇦🇫 Afghanistan,Amazon,Regional,22
AF,🇦🇫 Afghanistan,Amazon,External,29
AF,🇦🇫 Afghanistan,Amazon,Regional,22
AF,🇦🇫 Afghanistan,Amazon,External,29
AF,🇦🇫 Afghanistan,Amazon,Regional,22
AF,🇦🇫 Afghanistan,Amazon,External,29
AF,🇦🇫 Afghanistan,Cdn77,External,1
AF,🇦🇫 Afghanistan,Cdn77,External,1
AF,🇦🇫 Afghanistan,Cdn77,External,1
AF,🇦🇫 Afghanistan,Cloudflare,Regional,164
AF,🇦🇫 Afghanistan,Cloudflare,External,217
AF,🇦🇫 Afghanistan,Cloudflare,Regional,164
AF,🇦🇫 Afghanistan,Cloudflare,External,217
AF,🇦🇫 Afghanistan,Cloudflare,Regional,164
AF,🇦🇫 Afghanistan,Cloudflare,External,217
AF,🇦🇫 Afghanistan,Facebook,External,8
AF,🇦🇫 Afghanistan,Facebook,External,8
AF,🇦🇫 Afghanistan,Facebook,External,8
AF,🇦🇫 Afghanistan,Fastly,External,18
AF,🇦🇫 Afghanistan,Fastly,External,18
AF,🇦🇫 Afghanistan,Fastly,External,18
AF,🇦🇫 Afghanistan,Microsoft,External,8
AF,🇦🇫 Afghanistan,Microsoft,External,8
AF,🇦🇫 Afghanistan,Microsoft,External,8
AF,🇦🇫 Afghanistan,Microsoft,External,8
AF,🇦🇫 Afghanistan,Other,Local,24
AF,🇦🇫 Afghanistan,Other,External,464
AX,🇦🇽 Åland Islands,Akamai,External,45
AX,🇦🇽 Åland Islands,Amazon,External,113
AX,🇦🇽 Åland Islands,Cloudflare,Regional,145
AX,🇦🇽 Åland Islands,Facebook,External,6
AX,🇦🇽 Åland Islands,Fastly,Regional,50
AX,🇦🇽 Åland Islands,Microsoft,External,24
AX,🇦🇽 Åland Islands,Other,Local,42
AX,🇦🇽 Åland Islands,Other,External,187
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Akamai,Local,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Amazon,External,61
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cdn77,Regional,5
AL,🇦🇱 Albania,Cdn77,External,17
AL,🇦🇱 Albania,Cloudflare,Local,17
AL,🇦🇱 Albania,Cloudflare,Regional,30
AL,🇦🇱 Albania,Cloudflare,External,480
AL,🇦🇱 Albania,Cloudflare,Local,17
