country_code,country_name,source,destination,value
AF,🇦🇫 Afghanistan,Akamai,External,50
AF,🇦🇫 Afghanistan,Akamai,External,50
AF,🇦🇫 Afghanistan,Akamai,External,50
AF,🇦🇫 Afghanistan,Alibaba,External,3
AF,🇦🇫 Afghanistan,Alibaba,External,3
AF,🇦🇫 Afghanistan,Alibaba,External,3
AF,🇦🇫 Afghanistan,Amazon,External,53
AF,🇦🇫 Afghanistan,Amazon,External,53
AF,🇦🇫 Afghanistan,Amazon,External,53
AF,🇦🇫 Afghanistan,Bunnycdn,External,2
AF,🇦🇫 Afghanistan,Bunnycdn,External,2
AF,🇦🇫 Afghanistan,Bunnycdn,External,2
AF,🇦🇫 Afghanistan,Cdn77,External,1
AF,🇦🇫 Afghanistan,Cdn77,External,1
AF,🇦🇫 Afghanistan,Chinanetcenter,External,1
AF,🇦🇫 Afghanistan,Chinanetcenter,External,1
AF,🇦🇫 Afghanistan,Cloudflare,External,388
AF,🇦🇫 Afghanistan,Cloudflare,External,388
AF,🇦🇫 Afghanistan,Cloudflare,External,388
AF,🇦🇫 Afghanistan,Facebook,External,9
AF,🇦🇫 Afghanistan,Facebook,External,9
AF,🇦🇫 Afghanistan,Facebook,External,9
AF,🇦🇫 Afghanistan,Fastly,External,17
AF,🇦🇫 Afghanistan,Fastly,External,17
AF,🇦🇫 Afghanistan,Fastly,External,17
AF,🇦🇫 Afghanistan,Microsoft,External,13
AF,🇦🇫 Afghanistan,Microsoft,External,13
AF,🇦🇫 Afghanistan,Microsoft,External,13
AF,🇦🇫 Afghanistan,Other,Local,25
AF,🇦🇫 Afghanistan,Other,External,417
AF,🇦🇫 Afghanistan,Reflectednetworks,External,21
AF,🇦🇫 Afghanistan,Reflectednetworks,External,21
AF,🇦🇫 Afghanistan,Reflectednetworks,External,21
AX,🇦🇽 Åland Islands,Akamai,External,50
AX,🇦🇽 Åland Islands,Amazon,Regional,117
AX,🇦🇽 Åland Islands,Cdn77,External,1
AX,🇦🇽 Åland Islands,Cloudflare,Regional,140
AX,🇦🇽 Åland Islands,Facebook,External,6
AX,🇦🇽 Åland Islands,Fastly,Regional,49
AX,🇦🇽 Åland Islands,Microsoft,External,26
AX,🇦🇽 Åland Islands,Other,Local,46
AX,🇦🇽 Åland Islands,Other,External,186
AX,🇦🇽 Åland Islands,Reflectednetworks,External,1
AL,🇦🇱 Albania,Akamai,Local,63
